,predicted_apple,predicted_banana,predicted_bellpepper,predicted_bitter_gourd,predicted_carrot,predicted_cucumber,predicted_grape,predicted_grapes,predicted_guava,predicted_jujube,predicted_kaki,predicted_lime,predicted_mango,predicted_orange,predicted_papaya,predicted_peach,predicted_pear,predicted_pomegranate,predicted_potato,predicted_strawberry,predicted_tomato,predicted_watermelon
actual_apple,531,80,74,12,74,16,0,1,69,11,0,37,72,102,13,0,0,150,83,100,107,21
actual_banana,35,683,30,56,14,40,1,31,52,53,0,86,65,38,2,4,10,10,88,45,36,7
actual_bellpepper,37,13,487,37,29,54,0,1,7,1,1,23,2,35,4,0,1,10,5,5,13,2
actual_bitter_gourd,0,7,1,126,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_carrot,12,2,2,0,141,12,0,0,0,11,0,0,8,4,0,0,1,4,12,12,6,0
actual_cucumber,1,3,6,2,4,209,0,5,17,0,0,7,2,3,0,6,3,3,9,4,3,2
actual_grape,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_grapes,0,1,0,0,0,2,0,77,1,2,0,1,0,0,0,0,0,0,0,0,0,0
actual_guava,4,27,13,1,1,10,0,17,350,22,0,26,13,8,0,0,0,18,12,5,2,0
actual_jujube,2,0,1,0,0,0,0,1,1,55,0,0,2,3,0,0,0,0,0,1,1,0
actual_kaki,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
actual_lime,9,7,9,2,0,0,0,6,38,19,0,331,17,11,0,0,0,0,3,12,1,0
actual_mango,0,4,0,0,11,1,0,1,7,4,0,7,135,6,0,1,0,5,7,23,0,0
actual_orange,84,36,41,32,80,7,0,24,68,15,4,61,82,592,4,2,0,8,59,16,87,8
actual_papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
actual_peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0
actual_pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
actual_pomegranate,26,5,6,6,53,37,0,2,48,19,0,5,7,2,0,0,0,1083,12,148,35,4
actual_potato,9,13,0,1,16,8,1,2,5,3,0,5,7,10,0,0,0,7,157,9,3,1
actual_strawberry,9,2,2,3,32,2,0,0,1,9,0,0,19,0,0,0,0,22,8,194,1,0
actual_tomato,50,0,9,1,68,1,0,1,5,7,20,0,26,18,0,0,0,15,10,44,602,0
actual_watermelon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
