,predicted_apple,predicted_banana,predicted_bellpepper,predicted_bitter_gourd,predicted_carrot,predicted_cucumber,predicted_grape,predicted_grapes,predicted_guava,predicted_jujube,predicted_kaki,predicted_lime,predicted_mango,predicted_orange,predicted_papaya,predicted_peach,predicted_pear,predicted_pomegranate,predicted_potato,predicted_strawberry,predicted_tomato,predicted_watermelon
actual_apple,663,78,35,5,75,9,21,10,83,37,1,58,67,87,1,0,1,78,96,38,97,13
actual_banana,20,761,23,106,34,42,5,21,65,34,0,72,28,21,0,0,13,12,104,13,3,9
actual_bellpepper,28,4,455,42,20,54,6,7,9,1,6,14,5,58,3,7,2,2,13,7,16,8
actual_bitter_gourd,0,7,5,119,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0
actual_carrot,2,4,1,1,108,6,10,0,2,12,3,1,9,8,0,2,1,2,16,2,7,30
actual_cucumber,5,5,5,0,3,224,0,4,16,8,0,3,3,1,2,1,2,2,4,0,0,1
actual_grape,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
actual_grapes,0,0,0,0,0,0,0,78,1,1,0,0,0,1,0,0,0,0,3,0,0,0
actual_guava,30,17,1,2,8,21,0,27,302,11,0,41,14,6,1,0,0,22,25,0,0,1
actual_jujube,2,0,1,0,0,0,0,0,1,54,0,2,2,2,0,0,0,0,1,1,0,1
actual_kaki,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,0,0,0,0,0,0,0
actual_lime,3,9,0,0,9,5,0,6,34,18,0,332,19,0,0,0,0,0,14,15,0,1
actual_mango,1,3,1,0,10,0,3,0,11,6,0,6,135,3,0,0,1,1,13,16,2,0
actual_orange,40,26,58,19,80,11,11,55,51,48,13,45,94,618,0,1,0,8,56,25,36,15
actual_papaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0,0,0,0
actual_peach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0,0,0,0,0
actual_pear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,0,0,0,0,0
actual_pomegranate,83,13,16,3,31,17,1,5,26,25,0,2,12,5,0,0,0,1120,6,99,32,2
actual_potato,8,23,1,1,17,4,7,3,10,2,0,2,5,5,1,0,0,0,161,0,1,6
actual_strawberry,2,2,6,1,24,1,8,0,1,12,0,3,14,2,0,0,0,7,15,200,2,4
actual_tomato,62,11,10,4,77,1,21,1,1,7,19,0,26,6,0,0,0,4,42,37,539,9
actual_watermelon,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
